"","x","z","response","hand","pitch","pred"
"375",-2,-1,"strike","right","fastball",-1.59484593873367
"376",-2,-1,"strike","right","slider",0.52107444237559
"377",-2,-1,"whiff","left","changeup",-0.413526318428032
"378",-2,-1,"whiff","left","curveball",1.22496954047446
"379",-2,-1,"whiff","left","fastball",-4.83159204629134
"380",-2,-1,"whiff","left","slider",2.51980565669951
"381",-2,-1,"whiff","right","changeup",-0.450162849021518
"382",-2,-1,"whiff","right","curveball",1.25874563954037
"383",-2,-1,"whiff","right","fastball",-3.50802643860285
"384",-2,-1,"whiff","right","slider",1.58315999368473
"385",-2,-0.9,"barrel","left","changeup",-7.65254511986804
"386",-2,-0.9,"barrel","left","curveball",-6.99611694718742
"387",-2,-0.9,"barrel","left","fastball",-4.19421412652206
"388",-2,-0.9,"barrel","left","slider",-4.92647075569559
"389",-2,-0.9,"barrel","right","changeup",-9.54721754964139
"390",-2,-0.9,"barrel","right","curveball",-10.084756375473
"391",-2,-0.9,"barrel","right","fastball",-5.24173432967502
"392",-2,-0.9,"barrel","right","slider",-7.51471715485124
"393",-2,-0.9,"strike","left","changeup",-0.38851961497893
"394",-2,-0.9,"strike","left","curveball",-0.612740942623808
"395",-2,-0.9,"strike","left","fastball",-2.60468760965279
"396",-2,-0.9,"strike","left","slider",0.612082047199285
"397",-2,-0.9,"strike","right","changeup",0.265417384560164
"398",-2,-0.9,"strike","right","curveball",0.0943660396936776
"399",-2,-0.9,"strike","right","fastball",-1.35764804070532
"400",-2,-0.9,"strike","right","slider",0.55539607450433
"401",-2,-0.9,"whiff","left","changeup",-0.403862632278168
"402",-2,-0.9,"whiff","left","curveball",1.23089887163125
"403",-2,-0.9,"whiff","left","fastball",-4.56446381412126
"404",-2,-0.9,"whiff","left","slider",2.54133192685331
"405",-2,-0.9,"whiff","right","changeup",-0.419509570984209
"406",-2,-0.9,"whiff","right","curveball",1.27430914482273
"407",-2,-0.9,"whiff","right","fastball",-3.25965285364038
"408",-2,-0.9,"whiff","right","slider",1.57563281390571
"409",-2,-0.8,"barrel","left","changeup",-7.39737095207208
"410",-2,-0.8,"barrel","left","curveball",-6.80465294721536
"411",-2,-0.8,"barrel","left","fastball",-4.00513637420106
"412",-2,-0.8,"barrel","left","slider",-4.70275539993701
"413",-2,-0.8,"barrel","right","changeup",-9.33292471819336
"414",-2,-0.8,"barrel","right","curveball",-9.67105764548019
"415",-2,-0.8,"barrel","right","fastball",-5.03131937509579
"416",-2,-0.8,"barrel","right","slider",-7.18427630269686
"417",-2,-0.8,"strike","left","changeup",-0.322038582567026
"418",-2,-0.8,"strike","left","curveball",-0.558222449306021
"419",-2,-0.8,"strike","left","fastball",-2.39894708668706
"420",-2,-0.8,"strike","left","slider",0.655919521915061
"421",-2,-0.8,"strike","right","changeup",0.356551157794897
"422",-2,-0.8,"strike","right","curveball",0.147617278949656
"423",-2,-0.8,"strike","right","fastball",-1.14531649380897
"424",-2,-0.8,"strike","right","slider",0.582468424008231
"425",-2,-0.8,"whiff","left","changeup",-0.409368709767702
"426",-2,-0.8,"whiff","left","curveball",1.21877103573655
"427",-2,-0.8,"whiff","left","fastball",-4.31429292515691
"428",-2,-0.8,"whiff","left","slider",2.55497711611398
"429",-2,-0.8,"whiff","right","changeup",-0.410781016096541
"430",-2,-0.8,"whiff","right","curveball",1.28214201956822
"431",-2,-0.8,"whiff","right","fastball",-3.02620752231138
"432",-2,-0.8,"whiff","right","slider",1.56231280854137
"433",-2,-0.7,"barrel","left","changeup",-7.17221727460506
"434",-2,-0.7,"barrel","left","curveball",-6.64855232040356
"435",-2,-0.7,"barrel","left","fastball",-3.83830306332958
"436",-2,-0.7,"barrel","left","slider",-4.51616138931352
"437",-2,-0.7,"barrel","right","changeup",-9.14384280809215
"438",-2,-0.7,"barrel","right","curveball",-9.30797445117662
"439",-2,-0.7,"barrel","right","fastball",-4.841684264448
"440",-2,-0.7,"barrel","right","slider",-6.8933335253672
"441",-2,-0.7,"strike","left","changeup",-0.267376912335339
"442",-2,-0.7,"strike","left","curveball",-0.513625687812019
"443",-2,-0.7,"strike","left","fastball",-2.21692595447955
"444",-2,-0.7,"strike","left","slider",0.693365045559532
"445",-2,-0.7,"strike","right","changeup",0.43518243251782
"446",-2,-0.7,"strike","right","curveball",0.193559856239521
"447",-2,-0.7,"strike","right","fastball",-0.957154405624784
"448",-2,-0.7,"strike","right","slider",0.602627818334037
"449",-2,-0.7,"whiff","left","changeup",-0.429810931816836
"450",-2,-0.7,"whiff","left","curveball",1.18896269544966
"451",-2,-0.7,"whiff","left","fastball",-4.08080978776025
"452",-2,-0.7,"whiff","left","slider",2.5613202254625
"453",-2,-0.7,"whiff","right","changeup",-0.423666059476294
"454",-2,-0.7,"whiff","right","curveball",1.28265246136171
"455",-2,-0.7,"whiff","right","fastball",-2.80751507867701
"456",-2,-0.7,"whiff","right","slider",1.54351857896602
"457",-2,-0.6,"barrel","left","changeup",-6.97708408746698
"458",-2,-0.6,"barrel","left","curveball",-6.52781506675202
"459",-2,-0.6,"barrel","left","fastball",-3.69371419390764
"460",-2,-0.6,"barrel","left","slider",-4.3666887238251
"461",-2,-0.6,"barrel","right","changeup",-8.97997181933776
