"","Name","pitch_type","p_throws","hitter","Pitches","Speed","Spin Rate","X Movement","Z Movement","Whiff Prop","Strike Prop","Barrel Prop"
"251","Taijuan Walker","SL","R","R",340,84.8597058823529,2404.10979228487,0.437529411764706,0.448794117647059,0.108823529411765,0.235294117647059,0.011764705882353
"252","Frankie Montas","FC","R","L",132,89.5409090909091,2389.17424242424,0.321590909090909,0.552121212121212,0.0984848484848485,0.287878787878788,0.0151515151515152
"253","Frankie Montas","FF","R","L",307,95.9410423452769,2347.05537459283,-0.550488599348534,1.39237785016287,0.0944625407166124,0.244299674267101,0.0162866449511401
"254","Frankie Montas","FF","R","R",355,96.2259154929578,2365.3661971831,-0.501718309859155,1.41338028169014,0.140845070422535,0.312676056338028,0.0140845070422535
"255","Frankie Montas","FS","R","L",381,86.411811023622,1467.47631578947,-1.00671916010499,0.255196850393701,0.15748031496063,0.244094488188976,0.00787401574803151
"256","Frankie Montas","FS","R","R",212,86.2801886792453,1464.95754716981,-1.00132075471698,0.283490566037736,0.150943396226415,0.245283018867925,0.0188679245283019
"257","Frankie Montas","SI","R","L",226,95.6535398230089,2238.25663716814,-1.32066371681416,0.961814159292035,0.0530973451327433,0.256637168141593,0.0309734513274336
"258","Frankie Montas","SI","R","R",290,95.5658620689655,2245.43793103448,-1.26758620689655,0.961689655172414,0.0620689655172414,0.244827586206897,0.0103448275862069
"259","Frankie Montas","SL","R","R",285,87.019649122807,2414.25964912281,0.516631578947368,0.231508771929825,0.150877192982456,0.312280701754386,0.0105263157894737
"260","Marco Gonzales","CH","L","R",791,79.3554993678888,2113.92015209126,1.43881163084703,0.576826801517067,0.13653603034134,0.251580278128951,0.0126422250316055
"261","Marco Gonzales","CU","L","L",108,76.8268518518519,2133.87962962963,-0.501666666666667,-1.0637962962963,0.0648148148148148,0.333333333333333,0
"262","Marco Gonzales","CU","L","R",273,76.5472527472527,2105.60805860806,-0.537472527472527,-1.09340659340659,0.0476190476190476,0.315018315018315,0.010989010989011
"263","Marco Gonzales","FC","L","R",473,86.1672304439746,2033.10403397028,0.201881606765328,0.963065539112051,0.0613107822410148,0.167019027484144,0.0359408033826639
"264","Marco Gonzales","FF","L","L",347,88.2524495677233,1988.45664739884,1.04827089337176,1.20492795389049,0.0605187319884727,0.250720461095101,0.0172910662824207
"265","Marco Gonzales","FF","L","R",690,88.55,1984.37010159652,0.994724637681159,1.23266666666667,0.0608695652173912,0.263768115942029,0.0188405797101449
"266","Jakob Junis","CH","R","L",188,84.7446808510638,1380.93048128342,-0.798244680851064,0.416808510638298,0.0638297872340426,0.186170212765957,0.0212765957446809
"267","Jakob Junis","CH","R","R",101,84.7663366336634,1423.10891089109,-0.853069306930693,0.336633663366337,0.0891089108910891,0.178217821782178,0.0099009900990099
"268","Jakob Junis","SI","R","L",243,91.9320987654321,2186.11570247934,-1.08427983539095,0.669053497942387,0.0288065843621399,0.320987654320988,0.0123456790123457
"269","Jakob Junis","SI","R","R",326,91.8438650306748,2195.54320987654,-1.07457055214724,0.704447852760736,0.0889570552147239,0.361963190184049,0.0122699386503068
"270","Jakob Junis","SL","R","L",391,83.2230179028133,2458.61381074169,1.07250639386189,0.0938618925831202,0.117647058823529,0.360613810741688,0.0127877237851662
"271","Jakob Junis","SL","R","R",519,82.9753371868979,2484.66088631985,1.13913294797688,0.0398651252408478,0.104046242774566,0.285163776493256,0.0134874759152216
"272","Austin Gomber","CH","L","R",356,82.0258426966292,1644.5308988764,0.815898876404494,0.880140449438202,0.137640449438202,0.258426966292135,0.0168539325842697
"273","Austin Gomber","CU","L","R",264,75.830303030303,2499.57196969697,-0.575833333333333,-1.16155303030303,0.106060606060606,0.265151515151515,0.0227272727272727
"274","Austin Gomber","FF","L","L",215,90.9186046511628,2162.11162790698,0.516,1.44213953488372,0.0325581395348837,0.306976744186047,0.00465116279069768
"275","Austin Gomber","FF","L","R",621,90.9892109500805,2154.02741935484,0.529275362318841,1.44244766505636,0.0515297906602255,0.241545893719807,0.0209339774557166
"276","Austin Gomber","SL","L","L",287,84.093031358885,2387.22299651568,-0.423205574912892,0.292961672473868,0.181184668989547,0.337979094076655,0.0104529616724739
"277","Austin Gomber","SL","L","R",220,84.6181818181818,2396.54090909091,-0.409363636363636,0.2665,0.090909090909091,0.204545454545455,0.0181818181818182
"278","Nick Pivetta","FC","R","L",165,86.1727272727273,2283.21212121212,0.460363636363636,0.408363636363636,0.121212121212121,0.248484848484848,0.0121212121212121
"279","Nick Pivetta","FC","R","R",356,86.2171348314607,2299.29661016949,0.463342696629213,0.352022471910112,0.160112359550562,0.278089887640449,0.0112359550561798
"280","Nick Pivetta","FF","R","L",635,93.3551181102362,2309.2031496063,-0.417795275590551,1.71628346456693,0.0645669291338582,0.262992125984252,0.015748031496063
"281","Nick Pivetta","FF","R","R",937,93.4705442902882,2310.14727854856,-0.424685165421558,1.71823906083244,0.108858057630736,0.297758804695838,0.0170757737459978
"282","Nick Pivetta","KC","R","L",393,76.9145038167939,2705.64631043257,0.641195928753181,-1.55460559796438,0.0585241730279898,0.300254452926209,0.0152671755725191
"283","Nick Pivetta","KC","R","R",411,77.3532846715328,2715.97323600973,0.668856447688564,-1.53649635036496,0.0802919708029197,0.277372262773723,0.0145985401459854
"284","Chris Bassitt","CH","R","L",115,85.1330434782609,1779.78947368421,-1.31495652173913,0.555913043478261,0.0434782608695652,0.165217391304348,0.00869565217391304
"285","Chris Bassitt","CU","R","L",232,71.5948275862069,2332.84482758621,1.25103448275862,-1.13443965517241,0.0905172413793104,0.310344827586207,0
"286","Chris Bassitt","CU","R","R",169,71.5207100591716,2326.81065088757,1.23497041420118,-1.15159763313609,0.0769230769230769,0.284023668639053,0.0059171597633136
"287","Chris Bassitt","FC","R","L",387,89.1808785529716,2259.9170984456,0.202196382428941,0.735736434108527,0.155038759689922,0.281653746770026,0.0129198966408269
"288","Chris Bassitt","FC","R","R",111,88.5297297297297,2269.24324324324,0.243513513513514,0.683063063063063,0.063063063063063,0.324324324324324,0.0270270270270271
"289","Chris Bassitt","FF","R","L",174,93.4373563218391,2198.58045977011,-0.437241379310345,1.12712643678161,0.103448275862069,0.235632183908046,0
"290","Chris Bassitt","FF","R","R",205,93.0458536585366,2184.6243902439,-0.476634146341463,1.14678048780488,0.160975609756098,0.312195121951219,0.0146341463414634
"291","Chris Bassitt","SI","R","L",381,92.8606299212598,2128.98157894737,-1.33123359580053,0.731049868766404,0.0603674540682415,0.372703412073491,0.0131233595800525
"292","Chris Bassitt","SI","R","R",585,92.7193162393162,2110.24273504274,-1.34552136752137,0.815059829059829,0.064957264957265,0.336752136752137,0.011965811965812
"293","Chris Bassitt","SL","R","R",202,82.7460396039604,2341.52475247525,0.556584158415842,0.0982178217821782,0.0891089108910891,0.282178217821782,0.0148514851485148
"294","Chris Bassitt","ST","R","R",180,74.9022222222222,2315.9,1.59688888888889,0.0330555555555556,0.166666666666667,0.277777777777778,0.0166666666666667
